Area	Title	Description	
Contact.Bio	Contact	College sophomore looking for internships in mechanical engineering	
Contact.Bio	Contact	With 15+ years of experience in the IT/Telecom industry, I have acquired a tremendous amount of hands on and technical project management knowledge. My current objective is to apply my technical knowledge and project management skills to help lead a competitive growing company to a new level of success and guide them towards a new age of advanced technology	
Contact.Bio	Contact	A multifaceted, solutions-focused, and customer/employee-oriented Hospitality and Event Services Professional offering extensive operational management experience and a demonstrated track record of success within a variety of environments in the food and beverage arena. Recognized as a performer able to successfully and efficiently manage multiple responsibilities simultaneously, resolve issues, and consistently meet established goals and exceed key performance objectives. Direct and decisive leader, convincing motivator, and effective trainer dedicated to continuous improvements in quality, productivity, efficiency, and customer service. Highly developed interpersonal, organizational, time, relationship management, and problem-solving skills. Strong qualifications in personnel development, team-building, and team leadership. Microsoft Office proficient	
Contact.Bio	Contact	Goal-oriented, high-energy SALES & MARKETING PROFESSIONAL. Develop and harness business relations to cultivate and capture new and existing business that establish targeted goals. Effectively assess challenges and implement strategies to maximize sales. Drive and perseverance to deliver quality in service and product	
Contact.Bio	Contact	Senior Web Developer specializing in front end development. Experienced with all stages of the development cycle for dynamic web projects. Well-versed in numerous programming languages including HTML5, PHP OOP, JavaScript, CSS, MySQL. Strong background in project management and customer relations	
Contact.Bio	Contact	An office manager with over IS years experience in Medical Office Operations within fast-paced environments. ability to lead and motivate employee. Familiar with all aspects of daily business operations including: Personnel, Human Resource Issues. HIPPA and OSHA Compliance. Contract Negotiations. Payroll. Federal Tax Preparation and numerous administrative functions	
Contact.Bio	Contact	Entrepreneurial executive with more than 15 years of experience managing sales, marketing, operations, personnel and merchandising at the district, regional and corporate level for both start-up and established retail, franchise and manufacturing companies. Motivational management style with a record of building and retaining highly motivated sales teams, distributor networks and manufacturers representatives. Successful in identifying opportunities for accelerated growth	
Contact.Bio	Contact	Highly organized and diligent professional drawing upon ten years of experience in accounting and finance to contribute to smooth and productive operations. Collaborate cross-functionally across organizational levels to build consensus, track benchmark achievement, and troubleshoot emerging issues	
Contact.Bio	Contact	I am an experienced and influential Account and Business Development Manager demonstrating a proven track record in the delivery of corporate disciplines acquired principally within the hospitality industry. I am able to provide the culmination of over 5 years of experience, which includes key account management, operations management, customer service, business development and project management. I am a creative thinker and business leader, who proactively identifies and secures new business opportunities all in the pursuit of business growth and new business development. I offer considerable expertise in enhancing revenues through a strategic and solutions-based approach. I am presently seeking a new opportunity within business development where I can advance my skills and expertise whilst also allowing for continued professional development	
Contact.Bio	Contact	Your role will encompass all facets of the calculation of net asset values on a variety of complex hedge funds. Working closely with the senior fund accountants, supervisors and (Senior)/account managers, your responsibilities will include	
